Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County
Mean Annual Earnings,2011,Male,Cavan,25 - 29 years,Euro,30279,CAVAN
Mean Annual Earnings,2011,Male,Cavan,30 - 39 years,Euro,38299,CAVAN
Mean Annual Earnings,2011,Male,Cavan,40 - 49 years,Euro,44363,CAVAN
Mean Annual Earnings,2011,Male,Cavan,50 - 59 years,Euro,44207,CAVAN
Mean Annual Earnings,2011,Male,Cavan,60 years and over,Euro,34470,CAVAN
Mean Annual Earnings,2011,Male,Carlow,15 - 24 years,Euro,19935,CARLOW
Mean Annual Earnings,2011,Male,Carlow,15 years and over,Euro,38715,CARLOW
Mean Annual Earnings,2011,Male,Carlow,25 - 29 years,Euro,30335,CARLOW
Mean Annual Earnings,2011,Male,Carlow,30 - 39 years,Euro,38712,CARLOW
Mean Annual Earnings,2011,Male,Carlow,40 - 49 years,Euro,45278,CARLOW
Mean Annual Earnings,2011,Male,Carlow,50 - 59 years,Euro,43339,CARLOW
Mean Annual Earnings,2011,Male,Carlow,60 years and over,Euro,34800,CARLOW
Mean Annual Earnings,2011,Male,Donegal,15 - 24 years,Euro,15971,DONEGAL
Mean Annual Earnings,2011,Male,Donegal,15 years and over,Euro,34618,DONEGAL
Mean Annual Earnings,2011,Male,Donegal,25 - 29 years,Euro,26975,DONEGAL
Mean Annual Earnings,2011,Male,Donegal,30 - 39 years,Euro,35105,DONEGAL
Mean Annual Earnings,2011,Male,Donegal,40 - 49 years,Euro,39658,DONEGAL
Mean Annual Earnings,2011,Male,Donegal,50 - 59 years,Euro,40268,DONEGAL
Mean Annual Earnings,2011,Male,Donegal,60 years and over,Euro,30529,DONEGAL
Mean Annual Earnings,2011,Male,Dublin,15 - 24 years,Euro,19404,DUBLIN
Mean Annual Earnings,2011,Male,Dublin,15 years and over,Euro,51280,DUBLIN
Mean Annual Earnings,2011,Male,Dublin,25 - 29 years,Euro,32207,DUBLIN
Mean Annual Earnings,2011,Male,Dublin,30 - 39 years,Euro,48507,DUBLIN
Mean Annual Earnings,2011,Male,Dublin,40 - 49 years,Euro,65387,DUBLIN
Mean Annual Earnings,2011,Male,Dublin,50 - 59 years,Euro,64392,DUBLIN
Mean Annual Earnings,2011,Male,Dublin,60 years and over,Euro,50239,DUBLIN
Mean Annual Earnings,2011,Male,Galway,15 - 24 years,Euro,18197,GALWAY
Mean Annual Earnings,2011,Male,Galway,15 years and over,Euro,42041,GALWAY
Mean Annual Earnings,2011,Male,Galway,25 - 29 years,Euro,29927,GALWAY
Mean Annual Earnings,2011,Male,Galway,30 - 39 years,Euro,41149,GALWAY
Mean Annual Earnings,2011,Male,Galway,40 - 49 years,Euro,50944,GALWAY
