Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County,Mean_Median_Diff,Mean_Median_Diff_Perc
Mean Annual Earnings,2011,Both sexes,Waterford,40 - 49 years,Euro,43001,WATERFORD,6148.0,16.68249531924131
Mean Annual Earnings,2011,Both sexes,Waterford,50 - 59 years,Euro,40614,WATERFORD,5867.0,16.884910927562093
Mean Annual Earnings,2011,Both sexes,Waterford,60 years and over,Euro,30534,WATERFORD,5553.0,22.228893959409152
Mean Annual Earnings,2011,Both sexes,Wicklow,15 - 24 years,Euro,17235,WICKLOW,1565.0,9.987236758136566
Mean Annual Earnings,2011,Both sexes,Wicklow,15 years and over,Euro,41725,WICKLOW,7666.0,22.508000822102822
Mean Annual Earnings,2011,Both sexes,Wicklow,25 - 29 years,Euro,29429,WICKLOW,2035.0,7.428634007446886
Mean Annual Earnings,2011,Both sexes,Wicklow,30 - 39 years,Euro,42909,WICKLOW,5062.0,13.374904219621106
Mean Annual Earnings,2011,Both sexes,Wicklow,40 - 49 years,Euro,49506,WICKLOW,9909.0,25.024623077505872
Mean Annual Earnings,2011,Both sexes,Wicklow,50 - 59 years,Euro,46480,WICKLOW,8985.0,23.963195092679022
Mean Annual Earnings,2011,Both sexes,Wicklow,60 years and over,Euro,35710,WICKLOW,8110.0,29.384057971014492
Mean Annual Earnings,2011,Both sexes,Westmeath,15 - 24 years,Euro,18470,WESTMEATH,1581.0,9.361122624193262
Mean Annual Earnings,2011,Both sexes,Westmeath,15 years and over,Euro,37076,WESTMEATH,4518.0,13.876773757601818
Mean Annual Earnings,2011,Both sexes,Westmeath,25 - 29 years,Euro,29898,WESTMEATH,2272.0,8.224136682835011
Mean Annual Earnings,2011,Both sexes,Westmeath,30 - 39 years,Euro,38491,WESTMEATH,3022.0,8.520116157771575
Mean Annual Earnings,2011,Both sexes,Westmeath,40 - 49 years,Euro,41969,WESTMEATH,6040.0,16.810932672771298
Mean Annual Earnings,2011,Both sexes,Westmeath,50 - 59 years,Euro,40323,WESTMEATH,4931.0,13.93252712477396
Mean Annual Earnings,2011,Both sexes,Westmeath,60 years and over,Euro,32321,WESTMEATH,7430.0,29.850146639347557
